##fileformat=VCFv4.2
##FILTER=<ID=PASS,Description="All filters passed">
##source=LUMPY
##INFO=<ID=SVTYPE,Number=1,Type=String,Description="Type of structural variant">
##INFO=<ID=SVLEN,Number=.,Type=Integer,Description="Difference in length between REF and ALT alleles">
##INFO=<ID=END,Number=1,Type=Integer,Description="End position of the variant described in this record">
##INFO=<ID=STRANDS,Number=.,Type=String,Description="Strand orientation of the adjacency in BEDPE format (DEL:+-, DUP:-+, INV:++/--)">
##INFO=<ID=IMPRECISE,Number=0,Type=Flag,Description="Imprecise structural variation">
##INFO=<ID=CIPOS,Number=2,Type=Integer,Description="Confidence interval around POS for imprecise variants">
##INFO=<ID=CIEND,Number=2,Type=Integer,Description="Confidence interval around END for imprecise variants">
##INFO=<ID=CIPOS95,Number=2,Type=Integer,Description="Confidence interval (95%) around POS for imprecise variants">
##INFO=<ID=CIEND95,Number=2,Type=Integer,Description="Confidence interval (95%) around END for imprecise variants">
##INFO=<ID=MATEID,Number=.,Type=String,Description="ID of mate breakends">
##INFO=<ID=EVENT,Number=1,Type=String,Description="ID of event associated to breakend">
##INFO=<ID=SECONDARY,Number=0,Type=Flag,Description="Secondary breakend in a multi-line variants">
##INFO=<ID=SU,Number=.,Type=Integer,Description="Number of pieces of evidence supporting the variant across all samples">
##INFO=<ID=PE,Number=.,Type=Integer,Description="Number of paired-end reads supporting the variant across all samples">
##INFO=<ID=SR,Number=.,Type=Integer,Description="Number of split reads supporting the variant across all samples">
##INFO=<ID=BD,Number=.,Type=Integer,Description="Amount of BED evidence supporting the variant across all samples">
##INFO=<ID=EV,Number=.,Type=String,Description="Type of LUMPY evidence contributing to the variant call">
##INFO=<ID=PRPOS,Number=.,Type=String,Description="LUMPY probability curve of the POS breakend">
##INFO=<ID=PREND,Number=.,Type=String,Description="LUMPY probability curve of the END breakend">
##ALT=<ID=DEL,Description="Deletion">
##ALT=<ID=DUP,Description="Duplication">
##ALT=<ID=INV,Description="Inversion">
##ALT=<ID=DUP:TANDEM,Description="Tandem duplication">
##ALT=<ID=INS,Description="Insertion of novel sequence">
##ALT=<ID=CNV,Description="Copy number variable region">
##FORMAT=<ID=GT,Number=1,Type=String,Description="Genotype">
##FORMAT=<ID=SU,Number=1,Type=Integer,Description="Number of pieces of evidence supporting the variant">
##FORMAT=<ID=PE,Number=1,Type=Integer,Description="Number of paired-end reads supporting the variant">
##FORMAT=<ID=SR,Number=1,Type=Integer,Description="Number of split reads supporting the variant">
##FORMAT=<ID=BD,Number=1,Type=Integer,Description="Amount of BED evidence supporting the variant">
##contig=<ID=1,length=249250621>
##contig=<ID=2,length=243199373>
##contig=<ID=3,length=198022430>
##contig=<ID=4,length=191154276>
##contig=<ID=5,length=180915260>
##contig=<ID=6,length=171115067>
##contig=<ID=7,length=159138663>
##contig=<ID=8,length=146364022>
##contig=<ID=9,length=141213431>
##contig=<ID=10,length=135534747>
##contig=<ID=11,length=135006516>
##contig=<ID=12,length=133851895>
##contig=<ID=13,length=115169878>
##contig=<ID=14,length=107349540>
##contig=<ID=15,length=102531392>
##contig=<ID=16,length=90354753>
##contig=<ID=17,length=81195210>
##contig=<ID=18,length=78077248>
##contig=<ID=19,length=59128983>
##contig=<ID=20,length=63025520>
##contig=<ID=21,length=48129895>
##contig=<ID=22,length=51304566>
##contig=<ID=X,length=155270560>
##contig=<ID=Y,length=59373566>
##contig=<ID=MT,length=16569>
#CHROM	POS	ID	REF	ALT	QUAL	FILTER	INFO	FORMAT	GIAB12878

1	7249985	42	N	<DEL>	.	.	SVTYPE=DEL;STRANDS=+-:4;SVLEN=-750;END=7250735;CIPOS=-10,660;CIEND=-222,9;CIPOS95=-2,221;CIEND95=-139,2;IMPRECISE;SU=4;PE=4;SR=0	GT:SU:PE:SR	./.:4:4:0

1	11597777	48	N	<DEL>	.	.	SVTYPE=DEL;STRANDS=+-:4;SVLEN=-1456;END=11599233;CIPOS=-10,713;CIEND=-714,9;CIPOS95=-2,343;CIEND95=-343,2;IMPRECISE;SU=4;PE=4;SR=0	GT:SU:PE:SR	./.:4:4:0

1	21179638	61	N	<DEL>	.	.	SVTYPE=DEL;STRANDS=+-:4;SVLEN=-614;END=21180252;CIPOS=-10,562;CIEND=-582,9;CIPOS95=-2,196;CIEND95=-200,2;IMPRECISE;SU=4;PE=4;SR=0	GT:SU:PE:SR	./.:4:4:0

1	21382037	63	N	<DEL>	.	.	SVTYPE=DEL;STRANDS=+-:4;SVLEN=-766;END=21382803;CIPOS=-10,647;CIEND=-623,9;CIPOS95=-2,217;CIEND95=-210,2;IMPRECISE;SU=4;PE=4;SR=0	GT:SU:PE:SR	./.:4:4:0

1	53042850	90	N	<DEL>	.	.	SVTYPE=DEL;STRANDS=+-:4;SVLEN=-736;END=53043586;CIPOS=-10,704;CIEND=-686,9;CIPOS95=-1,237;CIEND95=-231,1;IMPRECISE;SU=4;PE=4;SR=0	GT:SU:PE:SR	./.:4:4:0

1	68435471	106	N	<DEL>	.	.	SVTYPE=DEL;STRANDS=+-:5;SVLEN=-869;END=68436340;CIPOS=-10,683;CIEND=-710,9;CIPOS95=-1,230;CIEND95=-239,1;IMPRECISE;SU=5;PE=5;SR=0	GT:SU:PE:SR	./.:5:5:0

1	66314146	114	N	<DEL>	.	.	SVTYPE=DEL;STRANDS=+-:4;SVLEN=-712;END=66314858;CIPOS=-10,709;CIEND=-710,9;CIPOS95=-1,239;CIEND95=-239,1;IMPRECISE;SU=4;PE=4;SR=0	GT:SU:PE:SR	./.:4:4:0

1	68103395	116	N	<DEL>	.	.	SVTYPE=DEL;STRANDS=+-:4;SVLEN=-633;END=68104028;CIPOS=-10,631;CIEND=-553,9;CIPOS95=-2,220;CIEND95=-194,2;IMPRECISE;SU=4;PE=4;SR=0	GT:SU:PE:SR	./.:4:4:0

1	70190261	117	N	<DEL>	.	.	SVTYPE=DEL;STRANDS=+-:4;SVLEN=-636;END=70190897;CIPOS=-10,596;CIEND=-564,9;CIPOS95=-2,203;CIEND95=-196,2;IMPRECISE;SU=4;PE=4;SR=0	GT:SU:PE:SR	./.:4:4:0

1	75587961	122	N	<DEL>	.	.	SVTYPE=DEL;STRANDS=+-:4;SVLEN=-685;END=75588646;CIPOS=-10,670;CIEND=-654,9;CIPOS95=-1,226;CIEND95=-219,2;IMPRECISE;SU=4;PE=4;SR=0	GT:SU:PE:SR	./.:4:4:0

1	77310970	123	N	<DEL>	.	.	SVTYPE=DEL;STRANDS=+-:4;SVLEN=-665;END=77311635;CIPOS=-10,449;CIEND=-581,9;CIPOS95=-2,186;CIEND95=-199,2;IMPRECISE;SU=4;PE=4;SR=0	GT:SU:PE:SR	./.:4:4:0

1	81367169	130	N	<DEL>	.	.	SVTYPE=DEL;STRANDS=+-:4;SVLEN=-716;END=81367885;CIPOS=-10,700;CIEND=-537,9;CIPOS95=-1,236;CIEND95=-192,2;IMPRECISE;SU=4;PE=4;SR=0	GT:SU:PE:SR	./.:4:4:0

